                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8402,                 3.8618,                 0.8809,                 0.6473,                0.44024,                0.46811,                0.17068,                 2.4017,                  1.961,                0.86896,               0.070038,              0.0033292,              0.0033292
                      1,                 2.3984,                 1.8637,                0.83338,                0.74999,                0.58187,                0.64814,                0.26541,                 2.1093,                 1.5164,                0.85376,               0.039708,              0.0063327,              0.0063327
                      2,                 2.2961,                 1.8027,                0.82821,                0.69283,                 0.4246,                 0.4725,                0.14354,                 2.5539,                 2.0155,                0.87259,              0.0090479,              0.0090062,              0.0090062
                      3,                 2.2136,                 1.7394,                0.82207,                0.79814,                0.59405,                 0.6742,                0.29174,                 1.9693,                 1.4957,                0.84076,               0.008515,               0.008515,               0.008515
                      4,                 2.1282,                 1.6552,                0.81429,                 0.8066,                0.60805,                0.68601,                0.30957,                 1.9164,                 1.4813,                0.83752,               0.008515,               0.008515,               0.008515
                      5,                 2.0562,                  1.574,                0.81017,                0.82241,                0.60258,                0.69486,                0.30558,                 1.9001,                 1.4181,                0.83761,                0.00802,                0.00802,                0.00802
                      6,                 2.0107,                 1.4975,                0.80688,                0.85893,                0.67462,                0.76017,                0.35781,                 1.8334,                 1.2878,                0.83014,               0.007525,               0.007525,               0.007525
                      7,                 1.9796,                  1.464,                0.80481,                0.80381,                0.68508,                0.75363,                0.33761,                 1.8841,                 1.2258,                0.83654,                0.00703,                0.00703,                0.00703
                      8,                   1.95,                 1.4373,                0.80259,                0.85242,                 0.6621,                0.75585,                0.34998,                 1.8224,                 1.3361,                0.83059,               0.006535,               0.006535,               0.006535
                      9,                 1.9356,                 1.4118,                0.79973,                0.85368,                0.71194,                 0.7901,                0.37935,                 1.7591,                 1.1623,                0.82594,                0.00604,                0.00604,                0.00604
                     10,                 1.8876,                 1.3532,                0.80655,                0.81454,                0.68932,                0.76193,                 0.3567,                 1.7768,                 1.2106,                0.83023,               0.005545,               0.005545,               0.005545
                     11,                 1.8703,                 1.3295,                0.80705,                0.83873,                0.72108,                 0.7866,                0.37614,                 1.7604,                 1.1406,                0.82647,                0.00505,                0.00505,                0.00505
                     12,                 1.8417,                 1.3102,                0.80375,                0.84502,                0.72542,                0.79415,                0.37969,                 1.7516,                 1.1413,                0.82686,               0.004555,               0.004555,               0.004555
                     13,                 1.8354,                 1.2848,                0.80179,                0.85122,                0.72554,                0.80181,                0.38849,                 1.7361,                 1.1242,                0.82481,                0.00406,                0.00406,                0.00406
                     14,                 1.8211,                 1.2773,                0.80082,                0.85217,                0.73177,                0.80617,                0.39018,                 1.7221,                 1.1065,                0.82446,               0.003565,               0.003565,               0.003565
                     15,                 1.8038,                 1.2523,                 0.7994,                0.84813,                0.73986,                0.81258,                0.39592,                 1.7179,                 1.0872,                0.82434,                0.00307,                0.00307,                0.00307
                     16,                 1.7921,                 1.2365,                 0.7984,                0.84391,                0.74127,                0.81332,                0.39151,                 1.7409,                  1.074,                0.82377,               0.002575,               0.002575,               0.002575
                     17,                  1.771,                 1.2058,                0.79693,                0.85253,                0.75596,                0.82586,                 0.4025,                 1.7028,                  1.044,                0.82052,                0.00208,                0.00208,                0.00208
                     18,                 1.7545,                 1.1858,                0.79683,                0.84829,                0.75737,                0.82796,                0.40201,                 1.7037,                 1.0414,                0.82146,               0.001585,               0.001585,               0.001585
                     19,                 1.7351,                 1.1735,                0.79416,                0.85509,                0.76155,                0.83132,                0.40543,                 1.6911,                 1.0324,                0.82002,                0.00109,                0.00109,                0.00109
