                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5327,                 2.5557,                0.84849,                0.76843,                0.57952,                0.65663,                0.27308,                 2.0178,                 1.5146,                 0.8476,               0.070013,              0.0033319,              0.0033319
                      1,                 2.1559,                 1.6306,                0.81719,                0.82561,                0.67426,                0.75198,                0.34731,                 1.8411,                 1.2743,                0.83651,               0.039683,              0.0063353,              0.0063353
                      2,                 2.0799,                 1.5692,                0.81322,                0.80125,                0.65188,                0.72339,                0.33643,                 1.8347,                 1.4088,                0.83421,              0.0090226,              0.0090087,              0.0090087
                      3,                 2.0216,                 1.5071,                0.80897,                0.84978,                0.70321,                0.78503,                0.37686,                 1.7732,                 1.1973,                0.83049,               0.008515,               0.008515,               0.008515
                      4,                 1.9559,                 1.4321,                0.80483,                0.84155,                0.73036,                 0.8011,                0.38873,                 1.7406,                  1.133,                0.82685,               0.008515,               0.008515,               0.008515
                      5,                 1.9166,                 1.3843,                0.80048,                0.84819,                0.74966,                0.81637,                0.40144,                 1.7241,                 1.0911,                0.82233,                0.00802,                0.00802,                0.00802
                      6,                 1.8885,                 1.3526,                  0.798,                0.84488,                0.76347,                0.82402,                0.40925,                 1.6859,                 1.0518,                0.82112,               0.007525,               0.007525,               0.007525
                      7,                  1.856,                 1.3163,                0.79691,                0.83964,                0.76476,                0.82743,                 0.4219,                 1.6239,                 1.0229,                0.82096,                0.00703,                0.00703,                0.00703
                      8,                 1.8235,                 1.2921,                0.79461,                0.83919,                 0.7727,                0.83353,                 0.4341,                 1.5816,                 1.0002,                0.81948,               0.006535,               0.006535,               0.006535
                      9,                 1.7966,                 1.2676,                0.79392,                0.83671,                0.78058,                0.83878,                0.44336,                   1.55,                0.97862,                0.81877,                0.00604,                0.00604,                0.00604
                     10,                 1.7456,                 1.2067,                  0.797,                0.84386,                0.78091,                0.84212,                0.45051,                 1.5367,                0.96975,                0.81837,               0.005545,               0.005545,               0.005545
                     11,                  1.718,                 1.1838,                0.79595,                0.84364,                0.78427,                0.84457,                0.45595,                 1.5208,                0.96048,                0.81754,                0.00505,                0.00505,                0.00505
                     12,                 1.6878,                 1.1555,                0.79461,                0.84297,                0.78706,                0.84637,                0.46107,                 1.5064,                0.95146,                 0.8173,               0.004555,               0.004555,               0.004555
                     13,                 1.6556,                 1.1308,                0.79211,                0.84076,                0.78771,                 0.8474,                0.46489,                 1.4929,                0.94443,                0.81694,                0.00406,                0.00406,                0.00406
                     14,                  1.626,                 1.0995,                0.79116,                0.84254,                0.78754,                0.84893,                0.46892,                 1.4811,                0.93747,                0.81665,               0.003565,               0.003565,               0.003565
                     15,                 1.5905,                 1.0679,                0.78998,                0.84523,                 0.7884,                0.85115,                0.47287,                 1.4697,                0.92966,                0.81638,                0.00307,                0.00307,                0.00307
                     16,                 1.5545,                  1.046,                0.78923,                0.84823,                0.78999,                0.85375,                0.47738,                 1.4578,                0.92205,                0.81608,               0.002575,               0.002575,               0.002575
                     17,                 1.5163,                 1.0098,                0.78718,                0.84979,                0.79141,                0.85589,                0.48172,                 1.4462,                0.91431,                0.81573,                0.00208,                0.00208,                0.00208
                     18,                 1.4676,                0.97656,                0.78554,                0.85333,                0.79179,                0.85843,                0.48633,                 1.4333,                0.90637,                0.81541,               0.001585,               0.001585,               0.001585
                     19,                 1.4263,                0.94014,                0.78327,                0.85572,                0.79397,                0.86114,                0.49084,                 1.4205,                0.89823,                0.81505,                0.00109,                0.00109,                0.00109
